,name,auc,nums,prec_@recall=0.6,f1_s_@recall=0.6,thre_@recall=0.6,prec_@recall=0.65,f1_s_@recall=0.65,thre_@recall=0.65,prec_@recall=0.7,f1_s_@recall=0.7,thre_@recall=0.7,prec_@recall=0.75,f1_s_@recall=0.75,thre_@recall=0.75,prec_@recall=0.8,f1_s_@recall=0.8,thre_@recall=0.8,prec_@recall=0.85,f1_s_@recall=0.85,thre_@recall=0.85,prec_@recall=0.9,f1_s_@recall=0.9,thre_@recall=0.9,precison_bset,recall_best,thresh_best,f1_score_best
252,职业身份_程序员,0.9690582523522465,150.0,0.5960264900662252,0.5980066445182725,0.033027686178684235,0.5664739884393064,0.6068111455108359,0.028440598398447037,0.4268292682926829,0.5303030303030304,0.016459226608276367,0.255079006772009,0.38111298482293415,0.007620478514581919,0.19138755980861244,0.30888030888030893,0.005308676511049271,0.11377777777777778,0.20078431372549022,0.0028706425800919533,0.012352456766401317,0.024370430544272948,0.00023924348352011293,0.8571428571428571,0.48,0.08910110058064473,0.6153846153846153
253,职业身份_运动员,0.9847699316077859,489.0,0.8647058823529412,0.7092882991556091,0.6689769625663757,0.848,0.736111111111111,0.5530264377593994,0.7725225225225225,0.7352625937834941,0.31723079085350037,0.6697080291970803,0.7078109932497588,0.16336017847061157,0.5077720207253886,0.6217287866772403,0.07421745359897614,0.3365695792880259,0.48231884057971014,0.029371129348874092,0.17321288295365278,0.2906095551894563,0.009654661640524864,0.7870370370370371,0.6952965235173824,0.3599339318548931,0.738327904451683
254,聚众场合_多人聚餐,0.9831473948976133,214.0,0.3644067796610169,0.454225352112676,0.09494918584823608,0.26119402985074625,0.3733333333333333,0.04683840274810791,0.2435064935064935,0.3614457831325301,0.036371733993291855,0.20614596670934698,0.3236180904522613,0.024720435962080956,0.13149847094801223,0.22601839684625494,0.010134357027709484,0.0834862385321101,0.15204678362573099,0.004495348781347275,0.058132530120481925,0.10922467458970005,0.0023074359633028507,0.4681818181818182,0.48130841121495327,0.19781448847411012,0.47465437788018433
255,聚众场合_婚礼,0.9727492726730597,317.0,0.503957783641161,0.5488505747126438,0.10446605831384659,0.3890977443609023,0.48763250883392234,0.04990272969007492,0.29838709677419356,0.4184731385485391,0.026214150711894035,0.1733430444282593,0.2816568047337278,0.010550265200436115,0.12294288480154889,0.2131766680654637,0.005780342034995556,0.07867132867132867,0.1440384102427314,0.0028119778726249933,0.03322104774073644,0.06408245574725521,0.0008816447807475924,0.6138996138996139,0.501577287066246,0.2299396390145611,0.5520833333333334
256,聚众场合_毕业,0.98975727281892,607.0,0.7388663967611336,0.6630336058128974,0.2728293240070343,0.7040998217468806,0.6763698630136986,0.19765274226665497,0.6231671554252199,0.6594259115593483,0.10790126770734787,0.5396449704142012,0.628099173553719,0.05858676880598068,0.4483394833948339,0.5748078060319338,0.03212815150618553,0.3206960845245494,0.4657039711191336,0.01375443022698164,0.20191952750092285,0.3299155609167672,0.005380256101489067,0.6963979416809606,0.6688632619439868,0.1699963927729298,0.6823529411764706
257,聚众场合_音乐会演唱会,0.9948736526299415,312.0,0.5026737967914439,0.5481049562682216,0.1956196129322052,0.48104265402843605,0.553133514986376,0.15672780573368073,0.4487704918032787,0.5475,0.1225118488073349,0.39661016949152544,0.5188470066518848,0.08398900181055069,0.3448275862068966,0.48216007714561243,0.05355807766318321,0.3162901307966706,0.46140503035559405,0.03647319972515106,0.2389455782312925,0.37768817204301075,0.015479662455618382,0.48325358851674644,0.6474358974358975,0.15852146160622765,0.5534246575342466
258,自然_农田,0.9904170694335439,234.0,0.6497695852534562,0.6252771618625277,0.293237566947937,0.5523465703971119,0.598825831702544,0.17722776532173157,0.49101796407185627,0.5774647887323944,0.1258658468723297,0.4595300261096606,0.5705024311183144,0.09151861071586609,0.3908523908523909,0.5258741258741259,0.05803833156824112,0.3235772357723577,0.4687868080094228,0.03245421499013901,0.15817091454272864,0.26913265306122447,0.007445866242051125,0.6714975845410628,0.594017094017094,0.3198168755288459,0.6303854875283447
259,自然_天空,0.9911904566131305,261.0,0.2798573975044563,0.3819951338199513,0.1010260283946991,0.25718608169440244,0.368763557483731,0.07749244570732117,0.22074788902291917,0.33577981651376143,0.05241163447499275,0.1856060606060606,0.29764616552771445,0.034987155348062515,0.17033414832925836,0.2809139784946237,0.02658875659108162,0.12006489994591671,0.21042654028436017,0.012387681752443314,0.08739308293045742,0.15932203389830507,0.006106611341238022,0.46473029045643155,0.42911877394636017,0.2979971588014938,0.4462151394422311
260,自然_山川,0.9881894700134045,121.0,0.18387909319899245,0.2818532818532819,0.04237635061144829,0.14031971580817051,0.23099415204678364,0.022655177861452103,0.10664993726474278,0.18518518518518517,0.012911997735500336,0.08666666666666667,0.15542271562766866,0.008188777603209019,0.06021104903786468,0.11200923787528869,0.004253314342349768,0.038063562453806356,0.07286876547576937,0.0019844661001116037,0.03102761172786792,0.059988992845349476,0.0013878338504582644,0.3333333333333333,0.45454545454545453,0.17938929341304746,0.3846153846153846
261,自然_日出日落,0.987003619831531,326.0,0.6689419795221843,0.6332794830371568,0.24735087156295776,0.6328358208955224,0.6414523449319213,0.18355640769004822,0.5932642487046632,0.6432584269662921,0.12638838589191437,0.478515625,0.5847255369928401,0.05576150864362717,0.4003067484662577,0.5337423312883436,0.03383810818195343,0.2495511669658887,0.38611111111111107,0.010687106288969517,0.14299610894941633,0.2468513853904282,0.004031579475849867,0.6371681415929203,0.6625766871165644,0.1798685395772743,0.649624060150376
262,自然_朝霞晚霞,0.9888400647240664,204.0,0.39171974522292996,0.4749034749034749,0.1279493123292923,0.3129411764705882,0.42289348171701113,0.06300769001245499,0.25673249551166966,0.37582128777923784,0.03522564470767975,0.2259970457902511,0.34733257661748007,0.024043502286076546,0.19617224880382775,0.3153846153846154,0.015894699841737747,0.13004484304932734,0.22568093385214003,0.0066560558043420315,0.08017429193899782,0.14725890356142457,0.0026668389327824116,0.46382978723404256,0.5343137254901961,0.22674013437397808,0.49658314350797267
263,自然_树木森林,0.9903477448418123,79.0,0.1563517915309446,0.24870466321243523,0.0418129488825798,0.1326530612244898,0.2208067940552017,0.030811088159680367,0.09911504424778761,0.17391304347826086,0.0176490917801857,0.08875739644970414,0.15894039735099336,0.013757393695414066,0.07281001137656427,0.1336116910229645,0.009501976892352104,0.05615194054500413,0.10542635658914729,0.006249113008379936,0.030037546933667083,0.058158319870759284,0.0022509582340717316,0.3493975903614458,0.3670886075949367,0.29647793812394263,0.35802469135802467
264,自然_江河湖海,0.991815546193419,1370.0,0.7784090909090909,0.6776586974443528,0.6646614074707031,0.7468566638725901,0.6952789699570815,0.5432736277580261,0.7067059690493737,0.7033370003667033,0.4172798991203308,0.6551943913320586,0.6995576726777816,0.2902504801750183,0.589881593110872,0.6790582403965304,0.1635875552892685,0.5054229934924078,0.6340136054421769,0.08027411997318268,0.39481268011527376,0.5488537725350545,0.032423608005046844,0.7051094890510949,0.7051094890510949,0.409784629942829,0.7051094890510949
265,舞蹈_跳舞,0.9843429966211603,1590.0,0.6355762824783477,0.6172759624716919,0.39361196756362915,0.5891737891737892,0.618236173393124,0.302424818277359,0.5358690418873375,0.6070357240250887,0.22117860615253448,0.4772,0.5833740831295844,0.1499411016702652,0.4180085441998028,0.549104252104468,0.0995727926492691,0.3450740173557938,0.4909222948438635,0.05769558250904083,0.24394817592908286,0.38385193133047213,0.02445329539477825,0.6008230452674898,0.6427672955974842,0.3198202711283977,0.6210878152537223
266,财经_彩票竞彩,0.9165532396452212,71.0,0.012778603268945022,0.025029103608847497,0.0008745068917050958,0.00986773042200294,0.01944559371121225,0.0005827397690154612,0.008677542519958347,0.01714383679067375,0.000456961861345917,0.005000926097425449,0.009936516698868341,0.00020557414973154664,0.00392805457928468,0.007817857632697846,0.0001379687018925324,0.001936262061960386,0.0038638163103721303,4.045992682222277e-05,0.0018416736209029955,0.003675837114467865,3.3174434065585956e-05,0.36,0.2535211267605634,0.12492367865757023,0.2975206611570248
267,财经_股票基金,0.8972989299053289,30.0,0.0023139220979560356,0.0046100653092585485,0.00046055999700911343,0.0015379883112888342,0.003068896731624981,0.0002355601463932544,0.0011960359949880397,0.0023879918125994997,0.00015749887097626925,0.0010471204188481676,0.0020913844055467155,0.00011474129860289395,0.001,0.0019975031210986267,0.0001008365215966478,0.0009178846289627904,0.001833827056002257,7.827708759577945e-05,0.000763423530409704,0.0015255530129672007,5.379540380090475e-05,0.3,0.1,0.31090943822714867,0.15
268,资源站_壁纸,0.9700463857152459,390.0,0.17713853141559424,0.27352425482174164,0.033682726323604584,0.14174107142857142,0.232813932172319,0.023051707074046135,0.1142737547090833,0.19647355163727961,0.015836432576179504,0.09534656687276277,0.16921744152468957,0.011510362848639488,0.06553245116572148,0.12114152591729761,0.006608502008020878,0.04878048780487805,0.09227348526959422,0.004064437933266163,0.0334604385128694,0.06452205882352942,0.002180945361033082,0.4350282485875706,0.39487179487179486,0.15999526982308915,0.4139784946236558
269,资源站_头像,0.9610239244016777,233.0,0.12738853503184713,0.21021021021021022,0.022349674254655838,0.08351648351648351,0.1480759863614223,0.01381643209606409,0.0592057761732852,0.10922410922410924,0.009326656349003315,0.033738191632928474,0.06457564575645756,0.004870466887950897,0.02432362122788762,0.04721626057315995,0.0031781026627868414,0.017525319242624394,0.03434587504314808,0.0019399657612666488,0.01329198050509526,0.02619760479041916,0.0011767856776714325,0.4484848484848485,0.31759656652360513,0.12587810696943877,0.37185929648241206
270,资源站_小说网文,0.9691952219512069,715.0,0.4054820415879017,0.48392554991539755,0.14955991506576538,0.3274647887323944,0.43559718969555034,0.10272640734910965,0.2378917378917379,0.35519319390287135,0.06134128198027611,0.15996425379803395,0.2637524557956778,0.03440243750810623,0.10671641791044777,0.1883127572016461,0.020124996080994606,0.07425500732779677,0.13658317421094013,0.012573654763400555,0.04454897620365246,0.0848988201173291,0.005904960911720991,0.7258771929824561,0.46293706293706294,0.4395833540262812,0.56532877882152
271,资源站_文案妙句,0.9224205322083596,328.0,0.04049331963001028,0.07587136529944156,0.008023140020668507,0.03475718694169238,0.06599845797995373,0.006398453377187252,0.028472394156969547,0.054722817035450864,0.00486835278570652,0.02448004776594686,0.04741254697889563,0.003820018842816353,0.01727535470310037,0.03382201646090535,0.002387546468526125,0.012661674608577263,0.02495192952644994,0.0014643296599388123,0.010652846757359821,0.021057124564274027,0.0010279797716066241,0.20074349442379183,0.16463414634146342,0.08550489705694413,0.18090452261306533
272,资源站_歌单歌词,0.9765412374778811,695.0,0.607871720116618,0.6039102099927588,0.12998606264591217,0.4967032967032967,0.5632398753894081,0.07641517370939255,0.390224358974359,0.5012866700977869,0.04744324833154678,0.2826204656199242,0.4107002360346184,0.025091683492064476,0.20028818443804033,0.32036876980697204,0.013673261739313602,0.12748058671268334,0.22172200337647718,0.006640301086008549,0.08222776829108104,0.15069812229176696,0.003314047819003463,0.6217851739788199,0.5913669064748202,0.13996819885208783,0.6061946902654867
