,name,auc,nums,reca_@precision=0.6,f1_s_@precision=0.6,thre_@precision=0.6,reca_@precision=0.65,f1_s_@precision=0.65,thre_@precision=0.65,reca_@precision=0.7,f1_s_@precision=0.7,thre_@precision=0.7,reca_@precision=0.75,f1_s_@precision=0.75,thre_@precision=0.75,reca_@precision=0.8,f1_s_@precision=0.8,thre_@precision=0.8,reca_@precision=0.85,f1_s_@precision=0.85,thre_@precision=0.85,reca_@precision=0.9,f1_s_@precision=0.9,thre_@precision=0.9,precison_bset,recall_best,thresh_best,f1_score_best
211,社会关系_师生,0.979695552,206,0.101941748,0.174273859,0.878730178,0.067961165,0.123348018,0.927382648,0.038834951,0.073732719,0.963229299,0.029126214,0.056074766,0.970228612,0.029126214,0.056338028,0.971866131,0.029126214,0.056338028,0.971866131,0.009708738,0.019230769,0.984129071,0.334545455,0.446601942,0.199053407,0.382536383
52,季节天气_夏天,0.993056409,107,0.299065421,0.4,0.61491549,0.121495327,0.204724409,0.799739063,0.112149533,0.193548387,0.8158741,0.028037383,0.054054054,0.900483608,0.028037383,0.054545455,0.921220779,0.028037383,0.054545455,0.921220779,0.028037383,0.054545455,0.921220779,0.414285714,0.813084112,0.06655628,0.548895899
9,兴趣爱好_摄影,0.923305552,166,0.030120482,0.057471264,0.759981513,0.030120482,0.057803468,0.788260162,0.030120482,0.057803468,0.788260162,0.024096386,0.046783626,0.821613312,0.024096386,0.046783626,0.821613312,0.012048193,0.023809524,0.916268826,0.012048193,0.023809524,0.916268826,0.21875,0.295180723,0.105998516,0.251282051
89,情感_友情,0.962310889,43,0.046511628,0.086956522,0.554118395,0.046511628,0.086956522,0.554118395,0.023255814,0.045454545,0.597382367,0.023255814,0.045454545,0.597382367,0.023255814,0.045454545,0.597382367,0.023255814,0.045454545,0.597382367,0.023255814,0.045454545,0.597382367,0.304347826,0.162790698,0.178866561,0.212121212
106,房产家居_房源分享,0.953457346,43,0.046511628,0.086956522,0.666983306,0.046511628,0.086956522,0.666983306,0.023255814,0.045454545,0.859950244,0.023255814,0.045454545,0.859950244,0.023255814,0.045454545,0.859950244,0.023255814,0.045454545,0.859950244,0.023255814,0.045454545,0.859950244,0.225352113,0.372093023,0.043149558,0.280701754
88,情感_亲情,0.969826935,142,0.021126761,0.040816327,0.892570138,0.021126761,0.04109589,0.910248995,0.021126761,0.04109589,0.910248995,0.021126761,0.04109589,0.910248995,0,0,0.972028196,0,0,0.972028196,0,0,0.972028196,0.278688525,0.35915493,0.155524512,0.313846154
55,室内_卧室,0.97746123,248,0.080645161,0.142348754,0.877325654,0.068548387,0.124087591,0.888207853,0.064516129,0.118518519,0.907536328,0.016129032,0.031620553,0.970552325,0.016129032,0.031620553,0.970552325,0.008064516,0.016,0.984679878,0.008064516,0.016,0.984679878,0.328690808,0.475806452,0.257598863,0.388797364
91,情绪_正向情绪,0.937020941,937,0.027748132,0.053061224,0.801779866,0.025613661,0.049331963,0.816691756,0.025613661,0.049433574,0.822815835,0.016008538,0.031347962,0.859949887,0.016008538,0.031413613,0.87238282,0.010672359,0.021097046,0.89181453,0.010672359,0.021097046,0.89181453,0.322553897,0.415154749,0.252140435,0.363042464
142,最右特色玩法_揭露骗子,0.919864252,73,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.01369863,0.027027027,0.483774215,0.137931034,0.109589041,0.106087253,0.122137405
263,自然_树木森林,0.987500228,77,0.077922078,0.137931034,0.929785132,0.077922078,0.139534884,0.932614267,0.012987013,0.025641026,0.98609215,0.012987013,0.025641026,0.98609215,0.012987013,0.025641026,0.98609215,0.012987013,0.025641026,0.98609215,0.012987013,0.025641026,0.98609215,0.344827586,0.38961039,0.276712742,0.365853659
